
2024/09/20 (09:02:16) | ===> btop++ v.1.3.2
2024/09/20 (09:02:16) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/09/20 (09:02:30) | ===> btop++ v.1.3.2
2024/09/20 (09:02:30) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/09/20 (09:02:49) | ===> btop++ v.1.3.2
2024/09/20 (09:02:49) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/09/20 (09:03:00) | ===> btop++ v.1.3.2
2024/09/20 (09:03:00) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/09/20 (09:03:25) | ===> btop++ v.1.3.2
2024/09/20 (09:03:25) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/09/20 (15:21:32) | ===> btop++ v.1.3.2
2024/09/20 (15:21:32) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/09/26 (11:29:46) | ===> btop++ v.1.4.0
2024/09/26 (11:29:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (13:45:10) | ===> btop++ v.1.4.0
2024/09/26 (13:45:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (15:19:02) | ===> btop++ v.1.4.0
2024/09/27 (15:19:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (17:59:18) | ===> btop++ v.1.4.0
2024/09/27 (17:59:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (20:49:55) | ===> btop++ v.1.4.0
2024/09/27 (20:49:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (10:10:43) | ===> btop++ v.1.4.0
2024/09/28 (10:10:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (13:10:45) | ===> btop++ v.1.4.0
2024/09/28 (13:10:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (20:38:57) | ===> btop++ v.1.4.0
2024/09/29 (20:38:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (22:45:41) | ===> btop++ v.1.4.0
2024/09/29 (22:45:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (15:29:24) | ===> btop++ v.1.4.0
2024/09/30 (15:29:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (15:50:36) | ===> btop++ v.1.4.0
2024/09/30 (15:50:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (16:16:54) | ===> btop++ v.1.4.0
2024/09/30 (16:16:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (16:17:13) | ===> btop++ v.1.4.0
2024/09/30 (16:17:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (17:21:50) | ===> btop++ v.1.4.0
2024/09/30 (17:21:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (15:01:57) | ===> btop++ v.1.4.0
2024/10/03 (15:01:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (13:26:55) | ===> btop++ v.1.4.0
2024/10/04 (13:26:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (11:44:23) | ===> btop++ v.1.4.0
2024/10/06 (11:44:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (11:52:39) | ===> btop++ v.1.4.0
2024/10/06 (11:52:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (11:36:33) | ===> btop++ v.1.4.0
2024/10/07 (11:36:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (12:14:36) | ===> btop++ v.1.4.0
2024/10/07 (12:14:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (12:47:28) | ===> btop++ v.1.4.0
2024/10/08 (12:47:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (10:45:55) | ===> btop++ v.1.4.0
2024/10/09 (10:45:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (23:28:58) | ===> btop++ v.1.4.0
2024/10/09 (23:28:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (23:30:45) | ===> btop++ v.1.4.0
2024/10/09 (23:30:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (12:38:15) | ===> btop++ v.1.4.0
2024/10/11 (12:38:15) | WARNING: Intel GPU: Failed to initialize PMU
